1		I		0		6504
2		P		120		247
3		B		40		162
4		B		80		5
5		P		240		6852
6		B		160		12093
7		B		200		5
8		P		360		6118
9		B		280		10987
10		B		320		5
11		I		480		11463
12		B		400		8582
13		B		440		7768
14		P		600		10122
15		B		520		8317
16		B		560		8224
17		P		720		9462
18		B		640		7093
19		B		680		7142
20		P		840		9792
21		B		760		8347
22		B		800		8406
23		I		960		11473
24		B		880		7825
25		B		920		7522
26		P		1080		9341
27		B		1000		6912
28		B		1040		7506
29		P		1200		9247
30		B		1120		7694
31		B		1160		7283
32		P		1320		9527
33		B		1240		7164
34		B		1280		7077
35		I		1440		11690
36		B		1360		6797
37		B		1400		6494
38		P		1560		8161
39		B		1480		6651
40		B		1520		6761
41		P		1680		9094
42		B		1600		6781
43		B		1640		6911
44		P		1800		10066
45		B		1720		6828
46		B		1760		6993
47		I		1920		10239
48		B		1840		6637
49		B		1880		6872
50		P		2040		8217
51		B		1960		7029
52		B		2000		6670
53		P		2160		7184
54		B		2080		5641
55		B		2120		4959
56		P		2280		6618
57		B		2200		5815
58		B		2240		5688
59		I		2400		9660
60		B		2320		4471
61		B		2360		4414
62		P		2520		5679
63		B		2440		4614
64		B		2480		4344
65		P		2640		12320
66		B		2560		4818
67		B		2600		4708
68		P		2760		11329
69		B		2680		7363
70		B		2720		6596
71		I		2880		10834
72		B		2800		6969
73		B		2840		6899
74		P		3000		7927
75		B		2920		5972
76		B		2960		5645
77		P		3120		7730
78		B		3040		6152
79		B		3080		6301
80		P		3240		8077
81		B		3160		5859
82		B		3200		5983
83		I		3360		10108
84		B		3280		6696
85		B		3320		7263
86		P		3480		8935
87		B		3400		6987
88		B		3440		6643
89		P		3600		8552
90		B		3520		6737
91		B		3560		7217
92		P		3720		10050
93		B		3640		7118
94		B		3680		7875
95		I		3840		10503
96		B		3760		6341
97		B		3800		6066
98		P		3960		9588
99		B		3880		7439
100		B		3920		7532
101		P		4080		9268
102		B		4000		5791
103		B		4040		5978
104		P		4200		8791
105		B		4120		8184
106		B		4160		8028
107		I		4320		11123
108		B		4240		6469
109		B		4280		7152
110		P		4440		9483
111		B		4360		7156
112		B		4400		7445
113		P		4560		8459
114		B		4480		7212
115		B		4520		7086
116		P		4680		8312
117		B		4600		6764
118		B		4640		7135
119		I		4800		11410
120		B		4720		8118
121		B		4760		7916
122		P		4920		9715
123		B		4840		7455
124		B		4880		7727
125		P		5040		8647
126		B		4960		7355
127		B		5000		7453
128		P		5160		9912
129		B		5080		8283
130		B		5120		8160
131		I		5280		11167
132		B		5200		7915
133		B		5240		7741
134		P		5400		8569
135		B		5320		6278
136		B		5360		6343
137		P		5520		8993
138		B		5440		7561
139		B		5480		8113
140		P		5640		9005
141		B		5560		7369
142		B		5600		6897
143		I		5760		10927
144		B		5680		9184
145		B		5720		9059
146		P		5880		10404
147		B		5800		8037
148		B		5840		8010
149		P		6000		9363
150		B		5920		7398
151		B		5960		6700
152		P		6120		16502
153		B		6040		5796
154		B		6080		10600
155		I		6240		12960
156		B		6160		6277
157		B		6200		5881
158		P		6360		8564
159		B		6280		6765
160		B		6320		7141
161		P		6480		9115
162		B		6400		6914
163		B		6440		7253
164		P		6600		8838
165		B		6520		7038
166		B		6560		7270
167		I		6720		13285
168		B		6640		5655
169		B		6680		5934
170		P		6840		8507
171		B		6760		6722
172		B		6800		6888
173		P		6960		8360
174		B		6880		6403
175		B		6920		6353
176		P		7080		8186
177		B		7000		6168
178		B		7040		6009
179		I		7200		13649
180		B		7120		6674
181		B		7160		7104
182		P		7320		8879
183		B		7240		6407
184		B		7280		6170
185		P		7440		9084
186		B		7360		7087
187		B		7400		7297
188		P		7560		8076
189		B		7480		6369
190		B		7520		6115
191		I		7680		13559
192		B		7600		7138
193		B		7640		6917
194		P		7800		8528
195		B		7720		6397
196		B		7760		6328
197		P		7920		8068
198		B		7840		6220
199		B		7880		6652
200		P		8040		8810
201		B		7960		9526
202		B		8000		7100
203		I		8160		13720
204		B		8080		6531
205		B		8120		6294
206		P		8280		8733
207		B		8200		7420
208		B		8240		6958
209		P		8400		7892
210		B		8320		6177
211		B		8360		6378
212		P		8520		8110
213		B		8440		7174
214		B		8480		6581
215		I		8640		13440
216		B		8560		5736
217		B		8600		6233
218		P		8760		7872
219		B		8680		6483
220		B		8720		6902
221		P		8880		11866
222		B		8800		7029
223		B		8840		7757
224		P		9000		12685
225		B		8920		10405
226		B		8960		10603
227		I		9120		10322
228		B		9040		5364
229		B		9080		5007
230		P		9240		8798
231		B		9160		5550
232		B		9200		5256
233		P		9360		5361
234		B		9280		4796
235		B		9320		4908
236		P		9480		8376
237		B		9400		5158
238		B		9440		5342
239		I		9600		10046
240		B		9520		6872
241		B		9560		5706
242		P		9720		8438
243		B		9640		6096
244		B		9680		6283
245		P		9840		6949
246		B		9760		5745
247		B		9800		5773
248		P		9960		6860
249		B		9880		5417
250		B		9920		5240
251		I		10080		10999
252		B		10000		5916
253		B		10040		6141
254		P		10200		6818
255		B		10120		5705
256		B		10160		5675
257		P		10320		7016
258		B		10240		5957
259		B		10280		5945
260		P		10440		6866
261		B		10360		6029
262		B		10400		5992
263		I		10560		10948
264		B		10480		6392
265		B		10520		6515
266		P		10680		7669
267		B		10600		6427
268		B		10640		6149
269		P		10800		7489
270		B		10720		6076
271		B		10760		6333
272		P		10920		7917
273		B		10840		6486
274		B		10880		6724
275		I		11040		11285
276		B		10960		5594
277		B		11000		5829
278		P		11160		7309
279		B		11080		6304
280		B		11120		6658
281		P		11280		7744
282		B		11200		6122
283		B		11240		6169
284		P		11400		7722
285		B		11320		6599
286		B		11360		6376
287		I		11520		11234
288		B		11440		5908
289		B		11480		5742
290		P		11640		7264
291		B		11560		5923
292		B		11600		5931
293		P		11760		7642
294		B		11680		5900
295		B		11720		6012
296		P		11880		6958
297		B		11800		6185
298		B		11840		6343
299		I		12000		11259
300		B		11920		5861
301		B		11960		5846
302		P		12120		8096
303		B		12040		6479
304		B		12080		6661
305		P		12240		6959
306		B		12160		5923
307		B		12200		5996
308		P		12360		6802
309		B		12280		5846
310		B		12320		5648
311		I		12480		11032
312		B		12400		5430
313		B		12440		5180
314		P		12600		7171
315		B		12520		5620
316		B		12560		5786
317		P		12720		11382
318		B		12640		6601
319		B		12680		9906
320		P		12840		7685
321		B		12760		6026
322		B		12800		6246
323		I		12960		10195
324		B		12880		6336
325		B		12920		6972
326		P		13080		7697
327		B		13000		5087
328		B		13040		5235
329		P		13200		6123
330		B		13120		5506
331		B		13160		5059
332		P		13320		5970
333		B		13240		5322
334		B		13280		5484
335		I		13440		10137
336		B		13360		4913
337		B		13400		4897
338		P		13560		6185
339		B		13480		4964
340		B		13520		5213
341		P		13680		6197
342		B		13600		5357
343		B		13640		5184
344		P		13800		6341
345		B		13720		5352
346		B		13760		5066
347		I		13920		10343
348		B		13840		4921
349		B		13880		5196
350		P		14040		6101
351		B		13960		4760
352		B		14000		5027
353		P		14160		6610
354		B		14080		4898
355		B		14120		5080
356		P		14280		5850
357		B		14200		4934
358		B		14240		5185
359		I		14400		10197
360		B		14320		4534
361		B		14360		4621
362		P		14520		6270
363		B		14440		5088
364		B		14480		5189
365		P		14640		6452
366		B		14560		5217
367		B		14600		5024
368		P		14760		6333
369		B		14680		5389
370		B		14720		5557
371		I		14880		9917
372		B		14800		5499
373		B		14840		5939
374		P		15000		7161
375		B		14920		5388
376		B		14960		5533
377		P		15120		7288
378		B		15040		6616
379		B		15080		6578
380		P		15240		5588
381		B		15160		5396
382		B		15200		4737
383		I		15360		9320
384		B		15280		4153
385		B		15320		4116
386		P		15480		6094
387		B		15400		5231
388		B		15440		5010
389		P		15600		6157
390		B		15520		4624
391		B		15560		4579
392		P		15720		4969
393		B		15640		4157
394		B		15680		3984
395		I		15840		8844
396		B		15760		4049
397		B		15800		3949
398		P		15960		4886
399		B		15880		3983
400		B		15920		3990
401		P		16080		4334
402		B		16000		3835
403		B		16040		3938
404		P		16200		8115
405		B		16120		5465
406		B		16160		5368
407		I		16320		2285
408		B		16240		3616
409		B		16280		3685
410		P		16440		550
411		B		16360		374
412		B		16400		323
413		P		16560		5360
414		B		16480		959
415		B		16520		1924
416		P		16680		8712
417		B		16600		4497
418		B		16640		4883
419		I		16800		9853
420		B		16720		4588
421		B		16760		5332
422		P		16920		5412
423		B		16840		4767
424		B		16880		4652
425		P		17040		5288
426		B		16960		4563
427		B		17000		4564
428		P		17160		5201
429		B		17080		4514
430		B		17120		4336
431		I		17280		10042
432		B		17200		4264
433		B		17240		4641
434		P		17400		5537
435		B		17320		4527
436		B		17360		4721
437		P		17520		5323
438		B		17440		4738
439		B		17480		4658
440		P		17640		5408
441		B		17560		4855
442		B		17600		4802
443		I		17760		9947
444		B		17680		4552
445		B		17720		4415
446		P		17880		5542
447		B		17800		4542
448		B		17840		4887
449		P		18000		5546
450		B		17920		4668
451		B		17960		4861
